                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2216,                 1.0624,                 1.2437,                0.75737,                0.64545,                0.72549,                0.44693,                 1.4124,                 1.1837,                 1.4277,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1715,                0.90372,                 1.2122,                0.76355,                0.65455,                0.73409,                0.43446,                 1.4025,                 1.1602,                 1.3979,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1741,                0.87443,                 1.2133,                0.79529,                0.63574,                0.73346,                0.42531,                 1.4581,                 1.1431,                 1.4477,               0.001307,               0.001307,               0.001307
                     38,                 1.1444,                0.87975,                 1.1937,                 0.7957,                0.66364,                0.73508,                0.45781,                 1.3947,                 1.1174,                 1.3938,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1398,                0.85821,                 1.1864,                 0.7442,                0.64242,                0.70483,                0.42204,                 1.4705,                 1.1523,                 1.4533,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1214,                0.85368,                 1.1748,                0.79441,                0.62121,                0.72335,                0.44623,                 1.4392,                 1.0827,                 1.4201,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1189,                0.83069,                 1.1842,                0.69605,                0.65926,                0.68975,                0.39425,                 1.5389,                 1.2032,                 1.4953,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1429,                0.84491,                 1.2159,                0.76756,                0.60606,                0.70645,                0.44073,                 1.3957,                 1.1925,                  1.404,               0.001208,               0.001208,               0.001208
                     43,                 1.1344,                 0.8968,                 1.2344,                0.78111,                0.67273,                0.75194,                0.46764,                 1.3421,                 1.0631,                 1.3594,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0988,                0.82344,                 1.1709,                0.76934,                0.66061,                0.74826,                0.44698,                 1.4174,                 1.0667,                 1.4129,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0966,                0.78484,                 1.1781,                0.74081,                 0.6303,                0.72588,                0.43623,                 1.4603,                 1.1496,                 1.4233,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1024,                 0.8193,                 1.1905,                0.68868,                0.69394,                0.72716,                0.44566,                 1.4115,                 1.0625,                 1.4196,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0775,                0.82035,                 1.1574,                0.76704,                0.64853,                 0.7353,                0.44131,                  1.476,                 1.0864,                 1.4692,               0.001109,               0.001109,               0.001109
                     48,                 1.0624,                0.80236,                 1.1588,                0.76414,                0.62727,                0.68295,                 0.4178,                 1.4626,                 1.1691,                 1.4881,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0666,                0.81118,                  1.156,                0.68394,                0.68854,                0.71016,                0.43376,                 1.4183,                 1.1249,                 1.4293,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1452,                0.81345,                  1.225,                0.81204,                0.64242,                0.74309,                0.45895,                 1.4174,                 1.0855,                 1.4105,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0478,                0.79778,                 1.1398,                0.82839,                0.67273,                0.74031,                0.46335,                 1.3521,                 1.1187,                 1.3892,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0267,                0.75259,                 1.1467,                0.72853,                 0.6831,                0.73483,                0.45807,                 1.4335,                 1.0785,                 1.4601,                0.00101,                0.00101,                0.00101
                     53,                 1.0983,                0.89603,                  1.189,                0.76606,                0.67273,                0.75412,                0.47018,                 1.3995,                 1.0312,                 1.4105,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.021,                0.72031,                 1.1152,                0.77264,                0.68485,                0.74359,                0.47078,                 1.3731,                 1.0439,                 1.3855,              0.0009704,              0.0009704,              0.0009704
                     55,                0.98309,                0.72902,                 1.1093,                0.75346,                0.70384,                0.73023,                0.45053,                 1.4041,                 1.1084,                 1.4055,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0483,                0.76124,                 1.1387,                0.77776,                0.65758,                0.73642,                0.45717,                 1.4084,                 1.0933,                  1.403,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0308,                0.73925,                 1.1348,                0.78996,                0.66061,                0.76262,                0.46686,                 1.3892,                 1.0583,                 1.3905,               0.000911,               0.000911,               0.000911
                     58,                0.98921,                0.69504,                  1.094,                0.81072,                 0.6697,                 0.7643,                0.48024,                 1.3958,                 1.0136,                 1.4395,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0104,                0.74354,                 1.1256,                0.81787,                0.66677,                0.74874,                0.46798,                 1.4206,                 1.0993,                 1.4367,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0243,                 0.7047,                 1.1273,                0.79724,                0.63939,                0.74706,                0.46867,                  1.397,                 1.0923,                 1.4313,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0077,                 0.7342,                 1.1059,                0.76873,                0.64242,                0.73491,                0.47652,                 1.3747,                 1.0705,                 1.4104,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.9658,                0.66658,                 1.0873,                0.75297,                0.66667,                0.75563,                 0.4722,                 1.3936,                 1.0353,                 1.4274,               0.000812,               0.000812,               0.000812
                     63,                 0.9481,                0.68224,                 1.0918,                0.74303,                0.70098,                0.75566,                 0.4631,                 1.4768,                  1.091,                 1.4773,              0.0007922,              0.0007922,              0.0007922
                     64,                0.96272,                 0.6879,                 1.0919,                0.80032,                0.69231,                0.76414,                0.47794,                 1.3792,                 1.0525,                 1.3921,              0.0007724,              0.0007724,              0.0007724
                     65,                0.93904,                0.68013,                 1.0879,                0.80146,                0.66364,                0.75565,                0.48898,                 1.3497,                 1.0457,                 1.3883,              0.0007526,              0.0007526,              0.0007526
                     66,                0.92829,                0.64335,                 1.0899,                 0.7994,                0.65758,                0.75034,                0.46731,                 1.3809,                 1.0591,                 1.4204,              0.0007328,              0.0007328,              0.0007328
                     67,                0.95133,                0.66039,                 1.0867,                0.84214,                0.63048,                0.74875,                0.46948,                 1.4005,                 1.1062,                 1.4203,               0.000713,               0.000713,               0.000713
                     68,                 0.9037,                0.62559,                 1.0552,                0.77884,                0.69366,                0.76237,                0.47203,                 1.3906,                 1.0604,                 1.4286,              0.0006932,              0.0006932,              0.0006932
                     69,                0.91698,                0.62505,                 1.0603,                0.77033,                0.72424,                0.78753,                0.49233,                 1.3579,                0.98167,                 1.4096,              0.0006734,              0.0006734,              0.0006734
                     70,                0.90307,                0.59858,                 1.0655,                0.84657,                0.67576,                0.77593,                0.48467,                 1.4012,                 1.0563,                 1.4482,              0.0006536,              0.0006536,              0.0006536
                     71,                0.93859,                 0.6454,                 1.0759,                0.79935,                0.68811,                0.76955,                0.49292,                 1.3479,                  1.016,                 1.3981,              0.0006338,              0.0006338,              0.0006338
